app_name,release_date,id,developer,Accounting,Action,Adventure,Animation &amp; Modeling,Audio Production,Casual,Design &amp; Illustration,Early Access,Education,Free to Play,Indie,Massively Multiplayer,Photo Editing,RPG,Racing,Simulation,Software Training,Sports,Strategy,Utilities,Video Production,Web Publishing
The first thrust of God,2018,773650,Apillo,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
SNOW - Starter Pack,2018,774271,Poppermost Productions,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
The first thrust of God - All Aircrafts,2018,773690,Apillo,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
SNOW - Lifetime Pack,2018,774279,Poppermost Productions,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
The Warrior Of Treasures,2018,768060,Tero Lunkka,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
RC Plane 3 - Canyon Scenario,2017,775880,FrozenPepper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
RC Plane 3 - F-53B,2017,775881,FrozenPepper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
DinoBlaster,2018,653960,Casey Labrack,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Carmageddon Max Pack,1997,282010,Stainless Games Ltd,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Half-Life,1998,70,Valve,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fallen Mage,2016,752360,dev4play,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Lost Cities,2018,520680,BlueLine Games,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Twisted Enhanced Edition,2018,690410,Games by Brundle,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vaporwave Simulator,2018,766850,ETGgames,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Tactics Forever,2018,413120,ProjectorGames,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0
Christmas Santa Troubles,2017,773120,Unknown Indie Devs,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Underdone - Soundtrack,2018,754360,The Commander,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bitcoin Clicker,2018,716110,"lalalaZero,Urbanoff",0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Disciples II: Gallean's Return,2006,1640,Strategy First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Disciples II: Rise of the Elves,2006,1630,Strategy First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Ship: Murder Party,2006,2400,Outerlight Ltd.,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Life of Rome,2012,381620,Breakout Studio,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Idle Adventure,2012,714020,"zha7,Phaedruns,Yingke Wu",0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Souland,2017,759920,Ultraint,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Darkness and a Crowd,2018,659780,Seth Albertus,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
TAROTICA VOO DOO,2017,603280,TPM.CO SOFT WORKS,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Chronicles of Vinland,2017,753110,Wonderbox Games,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Orbitality,2017,753100,Wonderbox Games,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Atomic Adam: Episode 1,2017,764280,Mad Unicorn Games,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mirt. Tales of the Cold Land. Chapter 2,2017,758550,Emanon Studios,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Advent Rising,2005,3800,GlyphX Games,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEFCON,2006,1520,Introversion Software,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
The Ship: Single Player,2006,2420,Outerlight Ltd.,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Garry's Mod,2006,4000,Facepunch Studios,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
RACE - The WTCC Game,2006,4230,SimBin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Zen of Sudoku,2006,4900,Unknown Worlds Entertainment,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Gumboy - Crazy Adventures™,2006,2520,"CINEMAX, s.r.o.",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ghost Master®,2003,6200,Sick Puppies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Vegas: Make It Big™,2006,6210,Deepred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Dreamfall: The Longest Journey,2006,6300,Funcom,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FlatOut 2™,2006,2990,Bugbear Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FlatOut,2005,6220,Bugbear Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Lost Planet™: Extreme Condition,2007,6510,"CAPCOM Co., Ltd.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CivCity: Rome,2006,3980,"FireFly Studios,Firaxis Games",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Arx Fatalis,2002,1700,Arkane Studios,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Longest Journey,2000,6310,Funcom,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Civilization IV®: Warlords,2006,3990,Firaxis Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Railroad Tycoon 3,2003,7610,PopTop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Sid Meier's Railroads!,2006,7600,"Firaxis Games,Feral Interactive (Mac)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Railroad Tycoon II Platinum,1998,7620,PopTop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
RIP - Trilogy™,2007,2540,Elephant Games,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
X-COM: Terror From the Deep,1995,7650,"MicroProse Software, Inc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Tomb Raider: Anniversary,2007,8000,"Crystal Dynamics,Feral Interactive (Mac)",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Devil May Cry® 3 Special Edition,2006,6550,"CAPCOM Co., Ltd.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam & Max 101: Culture Shock,2006,8200,Telltale Games,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Final DOOM,1996,2290,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vigil: Blood Bitterness™,2007,2570,Freegamer,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Sam & Max 102: Situation: Comedy,2006,8210,Telltale Games,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ultimate Doom,1995,2280,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Master Levels for Doom II,1995,9160,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOOM II,1994,2300,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wolfenstein 3D,1994,2270,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Return to Castle Wolfenstein,2001,9010,Gray Matter Studios,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QUAKE Mission Pack 1: Scourge of Armagon,1997,9040,Ritual Entertainment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spear of Destiny,1993,9000,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BloodRayne,2003,3810,Terminal Reality,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QUAKE Mission Pack 2: Dissolution of Eternity,2007,9030,Rogue Entertainment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QUAKE,2007,2310,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genesis Rising,2007,3230,Metamorf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Warhammer® 40,000: Dawn of War® – Winter Assault",2006,9310,Relic Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BioShock™,2007,7670,"2K Boston,2K Australia",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2006,4570,Relic Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Warhammer® 40,000: Dawn of War® - Dark Crusade",2006,4580,Relic Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Rome: Total War™ - Collection,2004,4760,The Creative Assembly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Rome: Total War™ - Alexander,2006,4770,The Creative Assembly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mystery Case Files: Madame Fate®,2007,50970,Big Fish Games,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Theft Auto,1998,12170,Rockstar North,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Theft Auto 2,1999,12180,Rockstar North,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manhunt,2004,12130,Rockstar North,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Midnight Club 2,2003,12160,Rockstar San Diego,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Max Payne 2: The Fall of Max Payne,2003,12150,Remedy Entertainment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tomb Raider: Legend,2006,7000,Crystal Dynamics,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Max Payne,2001,12140,Remedy Entertainment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Command & Conquer: Red Alert 3,2008,17480,EA Los Angeles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PuzzleQuest: Challenge of the Warlords,2007,12500,Infinite Interactive,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culpa Innata,2007,12310,Momentum Digital Media Technologies,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Prison Tycoon 3™: Lockdown,2007,12510,"Gamebryo,Virtual Playground",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Hunting Unlimited™ 2008,2007,12530,SCS Software,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18 Wheels of Steel: American Long Haul,2007,12520,SCS Software,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Conflict: Denied Ops,2008,8100,Pivotal Games,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMA: Combat Operations,2007,2780,Bohemia Interactive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desperados 2: Cooper's Revenge,2006,9710,Spellbound,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Death to Spies,2007,9800,Haggard Games,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Act of War: High Treason,2006,9760,Eugen Systems,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RollerCoaster Tycoon® 3: Platinum,2006,2700,"Frontier,Aspyr (Mac)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Act of War: Direct Action,2005,2710,Eugen Systems,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unreal 2: The Awakening,2003,13200,"Epic Games, Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unreal Gold,1998,13250,"Epic Games, Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ninja Reflex: Steamworks Edition,2008,13000,Sanzaru Games,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tom Clancy's Splinter Cell®,2003,13560,Ubisoft,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Far Cry®,2004,13520,Crytek Studios,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unreal Tournament: Game of the Year Edition,2000,13240,"Epic Games, Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Clancy's Rainbow Six® Vegas,2006,13540,Ubisoft Montreal,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Silent Hunter® III,2005,15210,Ubisoft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Virtual Villagers - The Secret City,2008,16180,Last Day of Work,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mystery P.I.™ - The Vegas Heist,2008,3520,SpinTop Games,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxor,2008,15970,MumboJumbo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reaxxion,2008,15950,MumboJumbo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Little Farm,2008,15960,MumboJumbo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7 Wonders II,2008,15900,MumboJumbo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxor Amun Rising,2005,15910,MumboJumbo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxor 3,2007,15930,MumboJumbo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petz® Horsez® 2,2007,15160,Ubisoft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Luxor 2,2005,15920,MumboJumbo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayman Raving Rabbids™,2007,15080,"Ubisoft Bulgaria,Ubisoft Montpellier",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Silent Hunter®: Wolves of the Pacific,2007,15200,Ubisoft Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
IL-2 Sturmovik: 1946,2006,15320,1C: Maddox Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Silent Hunter®: Wolves of the Pacific U-Boat Missions,2008,15240,Ubisoft Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bone: Out From Boneville,2005,8310,Telltale Games,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Midnight Outlaw: 6 Hours to SunUp,2005,12600,"Merscom,Babylon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bone: The Great Cow Race,2006,8320,Telltale Games,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sprint Cars Road to Knoxville,2008,12590,BigAnt Studios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ride! Carnival Tycoon,2007,12560,Gabriel Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mahjongg Investigations: Under Suspicion,2007,12540,Zemnott,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dracula Origin,2008,11050,Frogwares,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beijing 2008™ - The Official Video Game of the Olympic Games,2008,10520,Eurocom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Sherlock Holmes - Nemesis,2008,11040,Frogwares,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Eternity's Child,2008,19500,"Luc Bernard,SilverSphereStudios",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pacific Storm Allies,2007,11260,Lesta Studio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Tank Universal,2008,19200,Dialogue Design,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FlatOut: Ultimate Carnage,2008,12360,Bugbear Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Oddworld: Abe's Exoddus®,1998,15710,Oddworld Inhabitants,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oddworld: Abe's Oddysee®,1997,15700,Oddworld Inhabitants,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTR Evolution Expansion Pack for RACE 07,2008,8660,SimBin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
X-COM: Enforcer,2001,7770,"MicroProse Software, Inc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
X-COM: Apocalypse,1997,7660,"MicroProse Software, Inc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
X-COM: UFO Defense,1993,7760,"MicroProse Software, Inc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
S.T.A.L.K.E.R.: Clear Sky,2008,20510,GSC Game World,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Crysis Warhead®,2008,17330,Crytek,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crysis,2007,17300,Crytek,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X-COM: Interceptor,1998,7730,"MicroProse Software, Inc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Witcher: Enhanced Edition Director's Cut,2008,20900,CD PROJEKT RED,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Multiwinia,2008,1530,Introversion Software,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
STCC - The Game 1 - Expansion Pack for RACE 07,2008,8690,SimBin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Children of the Nile: Alexandria,2008,17120,"Tilted Mill Entertainment, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Sid Meier's Civilization IV: Colonization,2008,16810,Firaxis Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Tom Clancy's Rainbow Six® 3 Gold,2003,19830,"Red Storm Entertainment,Ubisoft Montreal",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEGO Batman,2008,21000,Traveller's Tales,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City Life 2008,2008,4460,Monte Cristo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Hinterland,2008,17140,"Tilted Mill Entertainment, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Brothers in Arms: Hell's Highway™,2008,15390,Gearbox Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gravitron 2,2008,21300,Dark Castle Software,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Xpand Rally Xtreme,2006,3050,Techland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Heroes of Might & Magic V: Hammers of Fate,2006,15380,Nival,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Brothers in Arms: Earned in Blood™,2005,19800,Gearbox Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heroes of Might & Magic V: Tribes of the East,2007,15370,Nival,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Settlers®: Rise Of An Empire Gold Edition,2008,19930,Blue Byte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Brain Spa,2007,15350,Ubisoft,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Sum of All Fears,2002,19810,Red Storm Entertainment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peggle™ Nights,2008,3540,"PopCap Games, Inc.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World of Goo,2008,22000,2D BOY,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
X3: Terran Conflict,2008,2820,Egosoft,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Mare Nostrum,2008,1230,Sandstorm Productions,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spectraball,2008,18300,Shorebound Studios,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Galactic Bowling,2008,20200,Perpetual FX Creative,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Bully: Scholarship Edition,2008,12200,Rockstar New England,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Far Cry® 2: Fortune's Edition,2008,19900,Ubisoft Montreal,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Space Trader: Merchant Marine,2008,11240,Meridian4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
PRR Wagon Pack 01,2009,256522,RailSimulator.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Class 421 London South East ""Jaffa Cake""",2009,275144,RailSimulator.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ATSF Wagon Pack 01,2009,256521,RailSimulator.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GP20 Union Pacific Add-on Livery,2009,222569,Reppo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
UK Van Wagon Pack,2009,256535,RailSimulator.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CSX SD70MAC Add-on Livery,2009,256611,Dovetail Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CSX ES44AC Add-on Livery,2009,256576,Dovetail Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Saints Row 2,2009,9480,Volition,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dead Space,2008,17470,EA Redwood Shores,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
