genres,app_name,release_date,id,developer,Accounting,Action,Adventure,Animation &amp; Modeling,Audio Production,Casual,Design &amp; Illustration,Early Access,Education,Free to Play,Indie,Massively Multiplayer,Photo Editing,RPG,Racing,Simulation,Software Training,Sports,Strategy,Utilities,Video Production,Web Publishing
Action,Half-Life,1998,70,Valve,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Action, Indie, RPG",Fallen Mage,2016,752360,dev4play,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Casual, Indie, Strategy",Lost Cities,2018,520680,BlueLine Games,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Action,Twisted Enhanced Edition,2018,690410,Games by Brundle,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Casual, Indie, Simulation",Vaporwave Simulator,2018,766850,ETGgames,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Action, Casual, Indie, Massively Multiplayer, Simulation, Sports, Strategy",Tactics Forever,2018,413120,ProjectorGames,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0
"Adventure, Casual, Indie",Christmas Santa Troubles,2017,773120,Unknown Indie Devs,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Action, Adventure, RPG",Underdone - Soundtrack,2018,754360,The Commander,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Adventure, Casual, Indie, RPG",Bitcoin Clicker,2018,716110,"lalalaZero,Urbanoff",0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Strategy,Disciples II: Gallean's Return,2006,1640,Strategy First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Strategy,Disciples II: Rise of the Elves,2006,1630,Strategy First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Action, Indie, RPG",The Ship: Murder Party,2006,2400,Outerlight Ltd.,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Indie, Massively Multiplayer, RPG, Early Access",Life of Rome,2012,381620,Breakout Studio,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"Adventure, Free to Play, RPG, Early Access",Idle Adventure,2012,714020,"zha7,Phaedruns,Yingke Wu",0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Action, Indie, Strategy, Early Access",Souland,2017,759920,Ultraint,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"Action, Adventure, Indie, RPG, Strategy",Darkness and a Crowd,2018,659780,Seth Albertus,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"Action, Adventure, Indie, RPG",TAROTICA VOO DOO,2017,603280,TPM.CO SOFT WORKS,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Casual, Strategy, Early Access",Chronicles of Vinland,2017,753110,Wonderbox Games,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Action, Indie",Orbitality,2017,753100,Wonderbox Games,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Action, Adventure, Casual",Atomic Adam: Episode 1,2017,764280,Mad Unicorn Games,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adventure, Casual, Free to Play, Indie",Mirt. Tales of the Cold Land. Chapter 2,2017,758550,Emanon Studios,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Action,Advent Rising,2005,3800,GlyphX Games,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Indie, Strategy",DEFCON,2006,1520,Introversion Software,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"Action, Indie, RPG",The Ship: Single Player,2006,2420,Outerlight Ltd.,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Indie, Simulation",Garry's Mod,2006,4000,Facepunch Studios,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Racing,RACE - The WTCC Game,2006,4230,SimBin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Casual, Indie",Zen of Sudoku,2006,4900,Unknown Worlds Entertainment,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Casual, Indie",Gumboy - Crazy Adventures™,2006,2520,"CINEMAX, s.r.o.",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Strategy,Ghost Master®,2003,6200,Sick Puppies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Strategy,Vegas: Make It Big™,2006,6210,Deepred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Adventure, RPG",Dreamfall: The Longest Journey,2006,6300,Funcom,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Racing,FlatOut 2™,2006,2990,Bugbear Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Racing,FlatOut,2005,6220,Bugbear Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Action, Adventure",Lost Planet™: Extreme Condition,2007,6510,"CAPCOM Co., Ltd.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strategy,CivCity: Rome,2006,3980,"FireFly Studios,Firaxis Games",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
RPG,Arx Fatalis,2002,1700,Arkane Studios,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Action, Adventure, RPG",The Longest Journey,2000,6310,Funcom,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Strategy,Civilization IV®: Warlords,2006,3990,Firaxis Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Strategy,Railroad Tycoon 3,2003,7610,PopTop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Strategy,Sid Meier's Railroads!,2006,7600,"Firaxis Games,Feral Interactive (Mac)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Strategy,Railroad Tycoon II Platinum,1998,7620,PopTop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Casual, Indie",RIP - Trilogy™,2007,2540,Elephant Games,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Strategy,X-COM: Terror From the Deep,1995,7650,"MicroProse Software, Inc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Action, Adventure",Tomb Raider: Anniversary,2007,8000,"Crystal Dynamics,Feral Interactive (Mac)",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,Devil May Cry® 3 Special Edition,2006,6550,"CAPCOM Co., Ltd.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Action, Adventure",Sam & Max 101: Culture Shock,2006,8200,Telltale Games,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,Final DOOM,1996,2290,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Indie, RPG",Vigil: Blood Bitterness™,2007,2570,Freegamer,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Action, Adventure",Sam & Max 102: Situation: Comedy,2006,8210,Telltale Games,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,Ultimate Doom,1995,2280,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,Master Levels for Doom II,1995,9160,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,DOOM II,1994,2300,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,Wolfenstein 3D,1994,2270,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,Return to Castle Wolfenstein,2001,9010,Gray Matter Studios,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,QUAKE Mission Pack 1: Scourge of Armagon,1997,9040,Ritual Entertainment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,Spear of Destiny,1993,9000,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,BloodRayne,2003,3810,Terminal Reality,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,QUAKE Mission Pack 2: Dissolution of Eternity,2007,9030,Rogue Entertainment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,QUAKE,2007,2310,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strategy,Genesis Rising,2007,3230,Metamorf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Strategy,"Warhammer® 40,000: Dawn of War® – Winter Assault",2006,9310,Relic Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Action, RPG",BioShock™,2007,7670,"2K Boston,2K Australia",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Strategy,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2006,4570,Relic Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Strategy,"Warhammer® 40,000: Dawn of War® - Dark Crusade",2006,4580,Relic Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Strategy,Rome: Total War™ - Collection,2004,4760,The Creative Assembly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Strategy,Rome: Total War™ - Alexander,2006,4770,The Creative Assembly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Casual,Mystery Case Files: Madame Fate®,2007,50970,Big Fish Games,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,Grand Theft Auto,1998,12170,Rockstar North,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,Grand Theft Auto 2,1999,12180,Rockstar North,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,Manhunt,2004,12130,Rockstar North,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Racing,Midnight Club 2,2003,12160,Rockstar San Diego,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Action,Max Payne 2: The Fall of Max Payne,2003,12150,Remedy Entertainment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Action, Adventure",Tomb Raider: Legend,2006,7000,Crystal Dynamics,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,Max Payne,2001,12140,Remedy Entertainment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strategy,Command & Conquer: Red Alert 3,2008,17480,EA Los Angeles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Casual,PuzzleQuest: Challenge of the Warlords,2007,12500,Infinite Interactive,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RPG, Casual, Adventure",Culpa Innata,2007,12310,Momentum Digital Media Technologies,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Strategy,Prison Tycoon 3™: Lockdown,2007,12510,"Gamebryo,Virtual Playground",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Action, Adventure, Strategy",Hunting Unlimited™ 2008,2007,12530,SCS Software,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Racing,18 Wheels of Steel: American Long Haul,2007,12520,SCS Software,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Action,Conflict: Denied Ops,2008,8100,Pivotal Games,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,ARMA: Combat Operations,2007,2780,Bohemia Interactive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,Desperados 2: Cooper's Revenge,2006,9710,Spellbound,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Action, Adventure",Death to Spies,2007,9800,Haggard Games,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,Act of War: High Treason,2006,9760,Eugen Systems,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Simulation, Strategy",RollerCoaster Tycoon® 3: Platinum,2006,2700,"Frontier,Aspyr (Mac)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Action,Act of War: Direct Action,2005,2710,Eugen Systems,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,Unreal 2: The Awakening,2003,13200,"Epic Games, Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,Unreal Gold,1998,13250,"Epic Games, Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Casual, Indie",Ninja Reflex: Steamworks Edition,2008,13000,Sanzaru Games,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Action,Tom Clancy's Splinter Cell®,2003,13560,Ubisoft,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,Far Cry®,2004,13520,Crytek Studios,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,Unreal Tournament: Game of the Year Edition,2000,13240,"Epic Games, Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,Tom Clancy's Rainbow Six® Vegas,2006,13540,Ubisoft Montreal,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simulation,Silent Hunter® III,2005,15210,Ubisoft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Casual, Simulation",Virtual Villagers - The Secret City,2008,16180,Last Day of Work,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Casual,Mystery P.I.™ - The Vegas Heist,2008,3520,SpinTop Games,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casual,Luxor,2008,15970,MumboJumbo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casual,Reaxxion,2008,15950,MumboJumbo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casual,Little Farm,2008,15960,MumboJumbo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casual,7 Wonders II,2008,15900,MumboJumbo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casual,Luxor Amun Rising,2005,15910,MumboJumbo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casual,Luxor 3,2007,15930,MumboJumbo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simulation,Petz® Horsez® 2,2007,15160,Ubisoft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Casual,Luxor 2,2005,15920,MumboJumbo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Action, Adventure",Rayman Raving Rabbids™,2007,15080,"Ubisoft Bulgaria,Ubisoft Montpellier",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simulation,Silent Hunter®: Wolves of the Pacific,2007,15200,Ubisoft Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Simulation,IL-2 Sturmovik: 1946,2006,15320,1C: Maddox Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Simulation,Silent Hunter®: Wolves of the Pacific U-Boat Missions,2008,15240,Ubisoft Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Adventure,Bone: Out From Boneville,2005,8310,Telltale Games,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Racing,Midnight Outlaw: 6 Hours to SunUp,2005,12600,"Merscom,Babylon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Adventure,Bone: The Great Cow Race,2006,8320,Telltale Games,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Racing,Sprint Cars Road to Knoxville,2008,12590,BigAnt Studios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Simulation,Ride! Carnival Tycoon,2007,12560,Gabriel Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Casual,Mahjongg Investigations: Under Suspicion,2007,12540,Zemnott,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adventure,Dracula Origin,2008,11050,Frogwares,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sports,Beijing 2008™ - The Official Video Game of the Olympic Games,2008,10520,Eurocom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Adventure, RPG",Sherlock Holmes - Nemesis,2008,11040,Frogwares,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Adventure, Indie",Eternity's Child,2008,19500,"Luc Bernard,SilverSphereStudios",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Simulation, Strategy",Pacific Storm Allies,2007,11260,Lesta Studio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"Action, Indie",Tank Universal,2008,19200,Dialogue Design,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Racing,FlatOut: Ultimate Carnage,2008,12360,Bugbear Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Adventure,Oddworld: Abe's Exoddus®,1998,15710,Oddworld Inhabitants,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adventure,Oddworld: Abe's Oddysee®,1997,15700,Oddworld Inhabitants,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Racing,GTR Evolution Expansion Pack for RACE 07,2008,8660,SimBin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Strategy,X-COM: Enforcer,2001,7770,"MicroProse Software, Inc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Strategy,X-COM: Apocalypse,1997,7660,"MicroProse Software, Inc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Strategy,X-COM: UFO Defense,1993,7760,"MicroProse Software, Inc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Action, RPG",S.T.A.L.K.E.R.: Clear Sky,2008,20510,GSC Game World,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Action,Crysis Warhead®,2008,17330,Crytek,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,Crysis,2007,17300,Crytek,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strategy,X-COM: Interceptor,1998,7730,"MicroProse Software, Inc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Action, RPG",The Witcher: Enhanced Edition Director's Cut,2008,20900,CD PROJEKT RED,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Indie,Multiwinia,2008,1530,Introversion Software,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Racing,STCC - The Game 1 - Expansion Pack for RACE 07,2008,8690,SimBin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Strategy, Simulation",Children of the Nile: Alexandria,2008,17120,"Tilted Mill Entertainment, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Strategy,Sid Meier's Civilization IV: Colonization,2008,16810,Firaxis Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Action,Tom Clancy's Rainbow Six® 3 Gold,2003,19830,"Red Storm Entertainment,Ubisoft Montreal",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Action, Adventure",LEGO Batman,2008,21000,Traveller's Tales,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Simulation, Strategy",City Life 2008,2008,4460,Monte Cristo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"RPG, Strategy",Hinterland,2008,17140,"Tilted Mill Entertainment, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Action,Brothers in Arms: Hell's Highway™,2008,15390,Gearbox Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Indie, Casual",Gravitron 2,2008,21300,Dark Castle Software,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Racing,Xpand Rally Xtreme,2006,3050,Techland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Strategy,Heroes of Might & Magic V: Hammers of Fate,2006,15380,Nival,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Action,Brothers in Arms: Earned in Blood™,2005,19800,Gearbox Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strategy,Heroes of Might & Magic V: Tribes of the East,2007,15370,Nival,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Strategy,The Settlers®: Rise Of An Empire Gold Edition,2008,19930,Blue Byte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
